id,data,canale,sku,prodotto,categoria,testo,tema_reale
TCK-2032,2026-07-04,chat,SKU-112,Body in pizzo Luce,lingerie,che taglia prendo del Body in pizzo Luce? Le misure sulla scheda non corrispondono a quelle italiane.,scelta_preacquisto
TCK-2033,2026-04-01,email,SKU-107,Kit plug progressivo,anale,"Buongiorno, il materiale del Kit plug progressivo è compatibile con chi ha la pelle sensibile?",scelta_preacquisto
TCK-2034,2026-05-07,email,SKU-107,Kit plug progressivo,anale,"Ciao, non mi arrivano più le mail con gli ordini, controllato anche lo spam.",promo_ordini
TCK-2035,2026-06-19,instagram,SKU-111,Kit bondage Soft Start,bdsm,si può usare il Kit bondage Soft Start sotto la doccia oppure no? Fatemi sapere per favore.,uso_prodotto
TCK-2036,2026-05-29,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buonasera, il Vibratore per coppie Duo App si può usare con un lubrificante al silicone o rovina il materiale? Grazie in anticipo.",uso_prodotto
TCK-2037,2026-05-01,email,SKU-107,Kit plug progressivo,anale,"Ciao, le istruzioni del Kit plug progressivo sono solo in inglese e in cinese, in italiano niente. Grazie in anticipo.",uso_prodotto
TCK-2038,2026-07-31,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"uno dei pulsanti del Vibratore per coppie Duo App non risponde, devo premerlo cinque volte. Fatemi sapere per favore.",difetto_prodotto
TCK-2039,2026-08-07,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"dopo tre settimane il Succhia-clitoride Aurora non si accende più, la base magnetica non aggancia bene. Grazie mille.",difetto_batteria
TCK-2040,2026-08-07,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"Buongiorno, il codice sconto non si applica al carrello, ho provato con tre browser diversi. Resto in attesa.",promo_ordini
TCK-2041,2026-05-09,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo? Resto in attesa.",reso_rimborso
TCK-2042,2026-08-02,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Buongiorno, il Succhia-clitoride Aurora si spegne da solo a metà utilizzo anche se la spia dice che è carico. Grazie in anticipo.",difetto_batteria
TCK-2043,2026-06-01,email,SKU-112,Body in pizzo Luce,lingerie,"Buonasera, reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo? Potete aiutarmi?",reso_rimborso
TCK-2044,2026-07-09,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, non riesco a collegare il Vibratore per coppie Duo App all'app, il bluetooth non lo trova.",uso_prodotto
TCK-2045,2026-05-05,whatsapp,SKU-103,Wand massaggiante Vela,wand,"Salve, il cavo di ricarica in dotazione ha smesso di funzionare quasi subito. Resto in attesa.",difetto_batteria
TCK-2046,2026-09-14,email,SKU-107,Kit plug progressivo,anale,"Ciao, ho ricevuto un prodotto diverso da quello ordinato e mi tocca pagare io la spedizione del reso. Potete aiutarmi?",reso_rimborso
TCK-2047,2026-08-03,instagram,SKU-102,Vibratore Rabbit Nova,vibratori,"sono indecisa tra due prodotti della stessa categoria, esiste una guida che li confronti? Resto in attesa.",scelta_preacquisto
TCK-2048,2026-09-13,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"Ciao, ho pagato la spedizione express e è arrivato con gli stessi tempi di quella standard. Grazie mille.",logistica_consegna
TCK-2049,2026-05-11,chat,SKU-105,Anello fallico Orbit,per-lui,"Buongiorno, il Anello fallico Orbit ha un blocco tasti? Mi si accende da solo in borsa.",uso_prodotto
TCK-2050,2026-08-02,instagram,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,come faccio a capire se il Succhia-clitoride Aurora è completamente carico? La spia lampeggia e basta.,uso_prodotto
TCK-2051,2026-08-18,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no.",reso_rimborso
TCK-2052,2026-09-14,whatsapp,SKU-103,Wand massaggiante Vela,wand,"dopo tre settimane il Wand massaggiante Vela non si accende più, la base magnetica non aggancia bene. Grazie mille.",difetto_batteria
TCK-2053,2026-08-09,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Ciao, vorrei fare un regalo alla mia partner ma ho paura di sbagliare, come mi oriento?",scelta_preacquisto
TCK-2054,2026-07-08,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buongiorno, il Vibratore per coppie Duo App funziona anche senza app o serve per forza lo smartphone? Fatemi sapere per favore.",scelta_preacquisto
TCK-2055,2026-06-14,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando. Grazie in anticipo.,logistica_consegna
TCK-2056,2026-04-10,email,SKU-107,Kit plug progressivo,anale,"Buonasera, spedizione in ritardo di oltre una settimana rispetto a quanto indicato in fase di acquisto. Resto in attesa.",logistica_consegna
TCK-2057,2026-04-06,email,SKU-106,Masturbatore Echo,per-lui,"Buonasera, il Masturbatore Echo è arrivato con un difetto sul silicone, c'era proprio un taglio. Resto in attesa.",difetto_prodotto
TCK-2058,2026-09-21,email,SKU-106,Masturbatore Echo,per-lui,"Buonasera, procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no. Fatemi sapere per favore.",reso_rimborso
TCK-2059,2026-08-14,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"sto scegliendo tra il Vibratore Rabbit Nova e un altro modello, non capisco la differenza tra i due.",scelta_preacquisto
TCK-2060,2026-08-12,chat,SKU-102,Vibratore Rabbit Nova,vibratori,come faccio a capire se il Vibratore Rabbit Nova è completamente carico? La spia lampeggia e basta. Grazie in anticipo.,uso_prodotto
TCK-2061,2026-08-01,instagram,SKU-109,Palline vaginali Kegel Set,palline,"Salve, il Palline vaginali Kegel Set è adatto a chi è alle prime armi o è troppo intenso?",scelta_preacquisto
TCK-2062,2026-09-19,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"Buongiorno, tracking mai aggiornato, non ho idea di dove sia il mio ordine. Un po' di trasparenza in più non guasterebbe. Grazie in anticipo.",logistica_consegna
TCK-2063,2026-08-31,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, il Vibratore per coppie Duo App ha un odore di plastica molto forte appena aperto, non me lo aspettavo da un silicone medicale. Resto in attesa.",difetto_prodotto
TCK-2064,2026-04-16,email,SKU-107,Kit plug progressivo,anale,"ho ricevuto una risposta chiara e senza giudizio, e per un acquisto del genere conta parecchio. Grazie mille.",assistenza
TCK-2065,2026-07-25,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, il codice sconto non si applica al carrello, ho provato con tre browser diversi. Grazie in anticipo.",promo_ordini
TCK-2066,2026-09-12,instagram,SKU-102,Vibratore Rabbit Nova,vibratori,"Salve, il Vibratore Rabbit Nova si può usare con un lubrificante al silicone o rovina il materiale? Resto in attesa.",uso_prodotto
TCK-2067,2026-09-20,instagram,SKU-103,Wand massaggiante Vela,wand,"Ciao, cerco qualcosa da usare in coppia a distanza, quale mi consigliate? Potete aiutarmi?",scelta_preacquisto
TCK-2068,2026-08-15,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, l'app si disconnette in continuazione quando lo controllo a distanza. È normale? Resto in attesa.",uso_prodotto
TCK-2069,2026-09-05,email,SKU-112,Body in pizzo Luce,lingerie,"Buongiorno, le informazioni sul prodotto sono insufficienti, ho comprato praticamente alla cieca. Fatemi sapere per favore.",informazione_scheda
TCK-2070,2026-04-21,email,SKU-102,Vibratore Rabbit Nova,vibratori,"Buonasera, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo. Grazie mille.",logistica_consegna
TCK-2071,2026-08-30,chat,SKU-107,Kit plug progressivo,anale,"Buonasera, chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
TCK-2072,2026-08-19,whatsapp,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, la cinghia del Vibratore per coppie Duo App si è strappata la seconda volta che l'ho usato.",difetto_prodotto
TCK-2073,2026-04-24,email,SKU-106,Masturbatore Echo,per-lui,"Salve, ho dovuto sostituirlo perché la batteria era gonfia. Assistenza gentile ma lentissima. Potete aiutarmi?",difetto_batteria
TCK-2074,2026-04-24,email,SKU-112,Body in pizzo Luce,lingerie,"reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo? Grazie mille.",reso_rimborso
TCK-2075,2026-07-23,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, uno dei pulsanti del Vibratore per coppie Duo App non risponde, devo premerlo cinque volte. Fatemi sapere per favore.",difetto_prodotto
TCK-2076,2026-09-10,instagram,SKU-111,Kit bondage Soft Start,bdsm,il prezzo in newsletter era diverso da quello sul sito al momento dell'acquisto. Potete aiutarmi?,promo_ordini
TCK-2077,2026-06-11,chat,SKU-107,Kit plug progressivo,anale,"Buongiorno, chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
TCK-2078,2026-04-23,email,SKU-111,Kit bondage Soft Start,bdsm,il Kit bondage Soft Start doveva essere impermeabile e invece dopo averlo sciacquato ha iniziato a fare le bizze.,difetto_prodotto
TCK-2079,2026-05-24,chat,SKU-102,Vibratore Rabbit Nova,vibratori,ordinato il 24/05 e dopo dieci giorni il pacco non è ancora arrivato. Il tracking è fermo da una settimana. Potete aiutarmi?,logistica_consegna
TCK-2080,2026-07-30,email,SKU-109,Palline vaginali Kegel Set,palline,"Buongiorno, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
TCK-2081,2026-06-29,email,SKU-105,Anello fallico Orbit,per-lui,"Buongiorno, ordinato il 29/06 e dopo dieci giorni il pacco non è ancora arrivato. Il tracking è fermo da una settimana.",logistica_consegna
TCK-2082,2026-05-08,email,SKU-111,Kit bondage Soft Start,bdsm,"Salve, avevo diritto al Bonus Goduria ma non capisco come si richiede. Grazie mille.",promo_ordini
TCK-2083,2026-06-15,whatsapp,SKU-103,Wand massaggiante Vela,wand,"Ciao, rimborso arrivato parziale senza nessuna spiegazione sulla differenza.",reso_rimborso
TCK-2084,2026-06-14,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"Ciao, il Lubrificante base acqua Fresh 100ml è adatto a chi è alle prime armi o è troppo intenso? Fatemi sapere per favore.",scelta_preacquisto
TCK-2085,2026-08-05,chat,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"Salve, non mi arrivano più le mail con gli ordini, controllato anche lo spam. Potete aiutarmi?",promo_ordini
TCK-2086,2026-05-29,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"non riesco a collegare il Vibratore per coppie Duo App all'app, il bluetooth non lo trova.",uso_prodotto
TCK-2087,2026-07-20,email,SKU-103,Wand massaggiante Vela,wand,"Buonasera, rimborso arrivato parziale senza nessuna spiegazione sulla differenza. Potete aiutarmi?",reso_rimborso
TCK-2088,2026-07-09,chat,SKU-105,Anello fallico Orbit,per-lui,"Ciao, vorrei sostituire il Anello fallico Orbit con un modello diverso, ma non trovo da nessuna parte come si fa il cambio.",reso_rimborso
TCK-2089,2026-04-02,chat,SKU-109,Palline vaginali Kegel Set,palline,"Buongiorno, rimborso arrivato parziale senza nessuna spiegazione sulla differenza. Fatemi sapere per favore.",reso_rimborso
TCK-2090,2026-04-01,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Buongiorno, ho chiesto il reso del Succhia-clitoride Aurora venti giorni fa, il rimborso non è ancora arrivato. Potete aiutarmi?",reso_rimborso
TCK-2091,2026-05-28,chat,SKU-106,Masturbatore Echo,per-lui,"Buongiorno, dopo tre settimane il Masturbatore Echo non si accende più, la base magnetica non aggancia bene.",difetto_batteria
TCK-2092,2026-06-14,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, qual è il modo corretto di pulire il Vibratore per coppie Duo App? Posso usare acqua e sapone o serve un detergente apposta?",uso_prodotto
TCK-2093,2026-04-09,chat,SKU-112,Body in pizzo Luce,lingerie,"Buongiorno, il Body in pizzo Luce si può usare anche in gravidanza? Potete aiutarmi?",scelta_preacquisto
TCK-2094,2026-07-13,instagram,SKU-112,Body in pizzo Luce,lingerie,"Ciao, però sull'estratto conto compare un nome che si capisce benissimo cosa sia. Sul sito dite il contrario. Resto in attesa.",imballo_privacy
TCK-2095,2026-06-26,chat,SKU-109,Palline vaginali Kegel Set,palline,"Salve, ordinato il 26/06 e dopo dieci giorni il pacco non è ancora arrivato. Il tracking è fermo da una settimana.",logistica_consegna
TCK-2096,2026-05-12,whatsapp,SKU-105,Anello fallico Orbit,per-lui,"Salve, ho ordinato durante la promozione e mi è stato addebitato il prezzo pieno.",promo_ordini
TCK-2097,2026-03-29,email,SKU-106,Masturbatore Echo,per-lui,"Salve, rimborso arrivato parziale senza nessuna spiegazione sulla differenza.",reso_rimborso
TCK-2098,2026-07-02,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"doppia scatola e nessun riferimento al contenuto, per me è fondamentale visto che vivo con i miei. Potete aiutarmi?",imballo_privacy
TCK-2099,2026-07-16,whatsapp,SKU-108,Dildo in silicone Onda,dildo,"Buongiorno, il materiale del Dildo in silicone Onda è compatibile con chi ha la pelle sensibile?",scelta_preacquisto
TCK-2100,2026-08-13,email,SKU-111,Kit bondage Soft Start,bdsm,"Ciao, rimborso arrivato parziale senza nessuna spiegazione sulla differenza. Grazie in anticipo.",reso_rimborso
TCK-2101,2026-06-09,email,SKU-106,Masturbatore Echo,per-lui,"Buongiorno, si scarica molto più in fretta di quanto dichiarato nella scheda. Parlavate di due ore.",difetto_batteria
TCK-2102,2026-04-14,email,SKU-103,Wand massaggiante Vela,wand,"Buongiorno, si scarica molto più in fretta di quanto dichiarato nella scheda. Parlavate di due ore.",difetto_batteria
TCK-2103,2026-04-30,chat,SKU-112,Body in pizzo Luce,lingerie,"Ciao, si può usare il Body in pizzo Luce sotto la doccia oppure no?",uso_prodotto
TCK-2104,2026-08-29,instagram,SKU-109,Palline vaginali Kegel Set,palline,il Palline vaginali Kegel Set è adatto a chi è alle prime armi o è troppo intenso? Potete aiutarmi?,scelta_preacquisto
TCK-2105,2026-04-13,instagram,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Buonasera, il cavo di ricarica in dotazione ha smesso di funzionare quasi subito. Grazie mille.",difetto_batteria
TCK-2106,2026-06-14,email,SKU-102,Vibratore Rabbit Nova,vibratori,il Vibratore Rabbit Nova funziona anche senza app o serve per forza lo smartphone?,scelta_preacquisto
TCK-2107,2026-04-04,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, non riesco a collegare il Vibratore per coppie Duo App all'app, il bluetooth non lo trova. Resto in attesa.",uso_prodotto
TCK-2108,2026-05-17,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"Buongiorno, rimborso arrivato parziale senza nessuna spiegazione sulla differenza.",reso_rimborso
TCK-2109,2026-08-20,chat,SKU-111,Kit bondage Soft Start,bdsm,"Salve, volevo capire se il Kit bondage Soft Start è utile per la riabilitazione del pavimento pelvico o è solo per il piacere.",scelta_preacquisto
TCK-2110,2026-09-14,instagram,SKU-103,Wand massaggiante Vela,wand,"Buonasera, il Wand massaggiante Vela si spegne da solo a metà utilizzo anche se la spia dice che è carico. Potete aiutarmi?",difetto_batteria
TCK-2111,2026-07-14,instagram,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"Buonasera, non capisco a cosa servano le diverse modalità del Lubrificante base acqua Fresh 100ml, sul libretto non è spiegato. Grazie mille.",uso_prodotto
TCK-2112,2026-07-30,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"Salve, reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo?",reso_rimborso
TCK-2113,2026-09-17,email,SKU-106,Masturbatore Echo,per-lui,"Buonasera, procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no. Grazie mille.",reso_rimborso
TCK-2114,2026-05-28,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Buonasera, doppia scatola e nessun riferimento al contenuto, per me è fondamentale visto che vivo con i miei. Resto in attesa.",imballo_privacy
TCK-2115,2026-05-03,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"ordine diviso in due spedizioni senza avvisarmi, ho ricevuto solo metà di quello che ho pagato. Grazie in anticipo.",logistica_consegna
TCK-2116,2026-07-27,whatsapp,SKU-108,Dildo in silicone Onda,dildo,"Ciao, il Dildo in silicone Onda è arrivato con un difetto sul silicone, c'era proprio un taglio.",difetto_prodotto
TCK-2117,2026-05-03,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, tracking mai aggiornato, non ho idea di dove sia il mio ordine. Un po' di trasparenza in più non guasterebbe.",logistica_consegna
TCK-2118,2026-08-09,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buongiorno, il Vibratore per coppie Duo App ha smesso di vibrare dopo pochi utilizzi.",difetto_prodotto
TCK-2119,2026-08-31,email,SKU-103,Wand massaggiante Vela,wand,il Wand massaggiante Vela ha un blocco tasti? Mi si accende da solo in borsa. Grazie mille.,uso_prodotto
TCK-2120,2026-07-27,instagram,SKU-107,Kit plug progressivo,anale,"Buonasera, seconda volta che un vostro ordine arriva in ritardo. La prima l'ho lasciata correre. Grazie in anticipo.",logistica_consegna
TCK-2121,2026-07-20,chat,SKU-111,Kit bondage Soft Start,bdsm,"Buongiorno, però sull'estratto conto compare un nome che si capisce benissimo cosa sia. Sul sito dite il contrario. Fatemi sapere per favore.",imballo_privacy
TCK-2122,2026-08-05,email,SKU-108,Dildo in silicone Onda,dildo,"Ciao, seconda volta che un vostro ordine arriva in ritardo. La prima l'ho lasciata correre.",logistica_consegna
TCK-2123,2026-06-02,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, l'app si disconnette in continuazione quando lo controllo a distanza. È normale?",uso_prodotto
TCK-2124,2026-04-19,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buonasera, qual è il modo corretto di pulire il Vibratore per coppie Duo App? Posso usare acqua e sapone o serve un detergente apposta? Grazie in anticipo.",uso_prodotto
TCK-2125,2026-04-14,chat,SKU-106,Masturbatore Echo,per-lui,come si carica il Masturbatore Echo? Nella confezione non c'era nessun foglietto di istruzioni.,uso_prodotto
TCK-2126,2026-07-06,instagram,SKU-106,Masturbatore Echo,per-lui,"Buongiorno, chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche. Grazie in anticipo.",reso_rimborso
TCK-2127,2026-05-29,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Buongiorno, rimborso arrivato parziale senza nessuna spiegazione sulla differenza.",reso_rimborso
TCK-2128,2026-09-01,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, come faccio a capire se il Vibratore per coppie Duo App è completamente carico? La spia lampeggia e basta.",uso_prodotto
TCK-2129,2026-05-10,chat,SKU-102,Vibratore Rabbit Nova,vibratori,"molto più rumoroso di quanto immaginassi, si sente da fuori dalla stanza.",difetto_prodotto
TCK-2130,2026-07-13,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,qual è il modo corretto di pulire il Vibratore per coppie Duo App? Posso usare acqua e sapone o serve un detergente apposta? Potete aiutarmi?,uso_prodotto
TCK-2131,2026-08-19,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Salve, dopo tre settimane il Vibratore per coppie Duo App non si accende più, la base magnetica non aggancia bene. Grazie in anticipo.",difetto_batteria
TCK-2132,2026-08-31,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,il Succhia-clitoride Aurora si spegne da solo a metà utilizzo anche se la spia dice che è carico. Grazie in anticipo.,difetto_batteria
TCK-2133,2026-06-28,chat,SKU-106,Masturbatore Echo,per-lui,spedizione in ritardo di oltre una settimana rispetto a quanto indicato in fase di acquisto. Fatemi sapere per favore.,logistica_consegna
TCK-2134,2026-07-22,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Salve, ho ricevuto un prodotto diverso da quello ordinato e mi tocca pagare io la spedizione del reso.",reso_rimborso
TCK-2135,2026-08-02,chat,SKU-103,Wand massaggiante Vela,wand,dove si conserva il Wand massaggiante Vela? Va bene lasciarlo nella custodia insieme ad altri? Fatemi sapere per favore.,uso_prodotto
TCK-2136,2026-04-30,instagram,SKU-102,Vibratore Rabbit Nova,vibratori,"Buonasera, descrizione molto vaga, le recensioni degli altri clienti mi hanno aiutato più della scheda. Grazie in anticipo.",informazione_scheda
TCK-2137,2026-07-23,chat,SKU-106,Masturbatore Echo,per-lui,"Buonasera, il Masturbatore Echo ha un blocco tasti? Mi si accende da solo in borsa. Fatemi sapere per favore.",uso_prodotto
TCK-2138,2026-05-18,email,SKU-102,Vibratore Rabbit Nova,vibratori,il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando. Potete aiutarmi?,logistica_consegna
TCK-2139,2026-04-13,email,SKU-112,Body in pizzo Luce,lingerie,"Buonasera, il Body in pizzo Luce è adatto a chi è alle prime armi o è troppo intenso? Grazie in anticipo.",scelta_preacquisto
