id,data,fonte,sku,prodotto,categoria,rating,testo,tema_reale
REC-1018,2026-04-01,sito,SKU-108,Dildo in silicone Onda,dildo,2,"Ho chiesto il reso del Dildo in silicone Onda venti giorni fa, il rimborso non è ancora arrivato.",reso_rimborso
REC-1019,2026-06-12,trustpilot,SKU-111,Kit bondage Soft Start,bdsm,2,"Buongiorno, ordine diviso in due spedizioni senza avvisarmi, ho ricevuto solo metà di quello che ho pagato.",logistica_consegna
REC-1020,2026-09-09,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,5,"comprato per curiosità, tornata per la seconda volta. Il Lubrificante base acqua Fresh 100ml è ottimo.",feedback_positivo
REC-1021,2026-09-04,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,Dove si conserva il Succhia-clitoride Aurora? Va bene lasciarlo nella custodia insieme ad altri?,uso_prodotto
REC-1022,2026-06-21,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,2,"Chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
REC-1023,2026-05-22,sito,SKU-108,Dildo in silicone Onda,dildo,5,"Salve, il video corso è ottimo ma la piattaforma è scomoda da usare da telefono.",corsi_contenuti
REC-1024,2026-08-12,sito,SKU-112,Body in pizzo Luce,lingerie,5,Il pacco era anonimo ma la bolla del corriere riportava la descrizione della merce.,imballo_privacy
REC-1025,2026-05-10,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,"Buonasera, il Succhia-clitoride Aurora risulta consegnato al vicino ma nessuno mi ha avvisato, l'ho scoperto per caso.",logistica_consegna
REC-1026,2026-05-09,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,"Dopo tre settimane il Succhia-clitoride Aurora non si accende più, la base magnetica non aggancia bene.",difetto_batteria
REC-1027,2026-06-12,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,5,"Ottimo acquisto, il Vibratore per coppie Duo App è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1028,2026-07-13,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,Ordinato il 13/07 e dopo dieci giorni il pacco non è ancora arrivato. Il tracking è fermo da una settimana.,logistica_consegna
REC-1029,2026-09-02,sito,SKU-106,Masturbatore Echo,per-lui,2,"Salve, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1030,2026-04-08,sito,SKU-108,Dildo in silicone Onda,dildo,5,"Buonasera, il Dildo in silicone Onda è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1031,2026-08-08,sito,SKU-108,Dildo in silicone Onda,dildo,1,Ho dovuto raccontare tutto da capo a tre persone diverse.,assistenza
REC-1032,2026-06-12,sito,SKU-108,Dildo in silicone Onda,dildo,2,Sulla scheda del Dildo in silicone Onda non è chiaro cosa sia incluso nella confezione.,informazione_scheda
REC-1033,2026-08-15,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,5,Il Succhia-clitoride Aurora vale ogni euro speso. Comprerò ancora da voi.,feedback_positivo
REC-1034,2026-08-14,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,1,La cinghia del Vibratore per coppie Duo App si è strappata la seconda volta che l'ho usato.,difetto_prodotto
REC-1035,2026-08-18,trustpilot,SKU-109,Palline vaginali Kegel Set,palline,2,"Sarebbe utile indicare quanti decibel fa il Palline vaginali Kegel Set, la rumorosità non è scritta da nessuna parte.",informazione_scheda
REC-1036,2026-05-17,sito,SKU-105,Anello fallico Orbit,per-lui,5,"ottimo acquisto, il Anello fallico Orbit è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1037,2026-06-24,sito,SKU-112,Body in pizzo Luce,lingerie,4,"Nella scheda del Body in pizzo Luce non sono indicate le dimensioni reali, dal vivo è molto più grande.",informazione_scheda
REC-1038,2026-05-09,sito,SKU-103,Wand massaggiante Vela,wand,2,"il Wand massaggiante Vela risulta consegnato al vicino ma nessuno mi ha avvisato, l'ho scoperto per caso.",logistica_consegna
REC-1039,2026-08-15,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,vivo in condivisione e la discrezione era il motivo per cui ho scelto voi: promessa mantenuta.,imballo_privacy
REC-1040,2026-05-13,sito,SKU-111,Kit bondage Soft Start,bdsm,1,Il Kit bondage Soft Start doveva essere impermeabile e invece dopo averlo sciacquato ha iniziato a fare le bizze.,difetto_prodotto
REC-1041,2026-08-05,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,1,"Buongiorno, ho scritto due volte all'assistenza e non ho ricevuto nessuna risposta.",assistenza
REC-1042,2026-07-01,sito,SKU-108,Dildo in silicone Onda,dildo,5,"Imballaggio davvero discreto, sulla scatola non c'è scritto niente. Su questo siete impeccabili.",imballo_privacy
REC-1043,2026-05-15,sito,SKU-108,Dildo in silicone Onda,dildo,5,"Servizio impeccabile dall'ordine alla consegna, e il Dildo in silicone Onda ha superato le aspettative.",feedback_positivo
REC-1044,2026-08-02,sito,SKU-109,Palline vaginali Kegel Set,palline,1,"Reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo?",reso_rimborso
REC-1045,2026-04-04,sito,SKU-102,Vibratore Rabbit Nova,vibratori,2,"Buongiorno, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1046,2026-04-11,sito,SKU-103,Wand massaggiante Vela,wand,3,"Confezione curata, si capisce che ci avete pensato. Il packaging è anche bello da vedere.",imballo_privacy
REC-1047,2026-08-29,sito,SKU-112,Body in pizzo Luce,lingerie,2,Ho ordinato durante la promozione e mi è stato addebitato il prezzo pieno.,promo_ordini
REC-1048,2026-06-11,sito,SKU-109,Palline vaginali Kegel Set,palline,5,"Salve, finalmente un negozio italiano serio su questo tema. Il Palline vaginali Kegel Set è di qualità alta.",feedback_positivo
REC-1049,2026-05-04,trustpilot,SKU-106,Masturbatore Echo,per-lui,4,"Imballaggio davvero discreto, sulla scatola non c'è scritto niente. Su questo siete impeccabili.",imballo_privacy
REC-1050,2026-05-14,sito,SKU-105,Anello fallico Orbit,per-lui,1,Seconda volta che un vostro ordine arriva in ritardo. La prima l'ho lasciata correre.,logistica_consegna
REC-1051,2026-09-12,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,2,"Il codice sconto non si applica al carrello, ho provato con tre browser diversi.",promo_ordini
REC-1052,2026-08-15,sito,SKU-107,Kit plug progressivo,anale,3,"Manca l'indicazione del materiale nella scheda del Kit plug progressivo, ho dovuto scrivervi per saperlo.",informazione_scheda
REC-1053,2026-09-08,sito,SKU-105,Anello fallico Orbit,per-lui,1,"Procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no.",reso_rimborso
REC-1054,2026-08-31,sito,SKU-111,Kit bondage Soft Start,bdsm,5,"Il Kit bondage Soft Start è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1055,2026-09-20,sito,SKU-108,Dildo in silicone Onda,dildo,5,"prodotto arrivato in due giorni, imballo perfetto e anonimo. Sono molto soddisfatta.",feedback_positivo
REC-1056,2026-07-23,trustpilot,SKU-109,Palline vaginali Kegel Set,palline,2,"Ho chiesto il reso del Palline vaginali Kegel Set venti giorni fa, il rimborso non è ancora arrivato.",reso_rimborso
REC-1057,2026-04-15,sito,SKU-105,Anello fallico Orbit,per-lui,5,"Salve, ottimo acquisto, il Anello fallico Orbit è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1058,2026-09-13,sito,SKU-105,Anello fallico Orbit,per-lui,5,"Buonasera, il Anello fallico Orbit è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1059,2026-04-07,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,"Dopo tre settimane il Succhia-clitoride Aurora non si accende più, la base magnetica non aggancia bene.",difetto_batteria
REC-1060,2026-07-06,trustpilot,SKU-109,Palline vaginali Kegel Set,palline,2,"Mi è arrivato già usato, la confezione era chiaramente stata aperta.",difetto_prodotto
REC-1061,2026-06-26,trustpilot,SKU-107,Kit plug progressivo,anale,5,Il Kit plug progressivo vale ogni euro speso. Comprerò ancora da voi.,feedback_positivo
REC-1062,2026-08-12,trustpilot,SKU-107,Kit plug progressivo,anale,5,"Buonasera, servizio impeccabile dall'ordine alla consegna, e il Kit plug progressivo ha superato le aspettative.",feedback_positivo
REC-1063,2026-05-28,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,"Ciao, uno dei pulsanti del Succhia-clitoride Aurora non risponde, devo premerlo cinque volte.",difetto_prodotto
REC-1064,2026-07-02,sito,SKU-109,Palline vaginali Kegel Set,palline,1,"Ciao, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1065,2026-05-24,sito,SKU-102,Vibratore Rabbit Nova,vibratori,5,"Buonasera, finalmente un negozio italiano serio su questo tema. Il Vibratore Rabbit Nova è di qualità alta.",feedback_positivo
REC-1066,2026-06-12,sito,SKU-103,Wand massaggiante Vela,wand,5,"Prodotto arrivato in due giorni, imballo perfetto e anonimo. Sono molto soddisfatta.",feedback_positivo
REC-1067,2026-04-26,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,1,"Tracking mai aggiornato, non ho idea di dove sia il mio ordine. Un po' di trasparenza in più non guasterebbe.",logistica_consegna
REC-1068,2026-05-19,sito,SKU-106,Masturbatore Echo,per-lui,1,"Buonasera, rimborso arrivato parziale senza nessuna spiegazione sulla differenza.",reso_rimborso
REC-1069,2026-03-27,sito,SKU-112,Body in pizzo Luce,lingerie,5,Finalmente un negozio italiano serio su questo tema. Il Body in pizzo Luce è di qualità alta.,feedback_positivo
REC-1070,2026-09-15,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,"Buonasera, non si capisce dalla descrizione se il Succhia-clitoride Aurora è ricaricabile o va a pile.",informazione_scheda
REC-1071,2026-09-10,sito,SKU-109,Palline vaginali Kegel Set,palline,1,"Ordine diviso in due spedizioni senza avvisarmi, ho ricevuto solo metà di quello che ho pagato.",logistica_consegna
REC-1072,2026-05-17,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,Il Succhia-clitoride Aurora non tiene la carica: dopo venti minuti è già scarico.,difetto_batteria
REC-1073,2026-09-03,sito,SKU-103,Wand massaggiante Vela,wand,5,"Materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1074,2026-06-17,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,5,"Buonasera, materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1075,2026-06-30,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,3,"Buonasera, il Vibratore per coppie Duo App ha un odore di plastica molto forte appena aperto, non me lo aspettavo da un silicone medicale.",difetto_prodotto
REC-1076,2026-09-07,trustpilot,SKU-108,Dildo in silicone Onda,dildo,1,Il Dildo in silicone Onda ha smesso di vibrare dopo pochi utilizzi.,difetto_prodotto
REC-1077,2026-05-13,sito,SKU-105,Anello fallico Orbit,per-lui,1,"vorrei sostituire il Anello fallico Orbit con un modello diverso, ma non trovo da nessuna parte come si fa il cambio.",reso_rimborso
REC-1078,2026-07-05,trustpilot,SKU-104,Vibratore per coppie Duo App,coppie-app,4,"Sarebbe bello avere una guida ai materiali, ogni volta mi perdo tra silicone, ABS e TPE.",corsi_contenuti
REC-1079,2026-05-30,sito,SKU-109,Palline vaginali Kegel Set,palline,5,"Prodotto arrivato in due giorni, imballo perfetto e anonimo. Sono molto soddisfatta.",feedback_positivo
REC-1080,2026-05-11,sito,SKU-103,Wand massaggiante Vela,wand,5,"Ciao, prodotto arrivato in due giorni, imballo perfetto e anonimo. Sono molto soddisfatta.",feedback_positivo
REC-1081,2026-05-18,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,1,"Assistenza clienti davvero impeccabile, mi hanno risposto in mezza giornata e risolto tutto.",assistenza
REC-1082,2026-05-30,trustpilot,SKU-106,Masturbatore Echo,per-lui,5,"Materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1083,2026-06-30,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,1,"Ciao, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1084,2026-07-20,sito,SKU-102,Vibratore Rabbit Nova,vibratori,4,L'app si disconnette in continuazione quando lo controllo a distanza. È normale?,uso_prodotto
REC-1085,2026-09-10,trustpilot,SKU-105,Anello fallico Orbit,per-lui,5,"Buongiorno, finalmente un negozio italiano serio su questo tema. Il Anello fallico Orbit è di qualità alta.",feedback_positivo
REC-1086,2026-07-16,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,2,"Mi avevano promesso il rimborso via mail, da allora silenzio totale.",reso_rimborso
REC-1087,2026-04-14,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,5,Il pacco era anonimo ma la bolla del corriere riportava la descrizione della merce.,imballo_privacy
REC-1088,2026-06-09,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,"Il Succhia-clitoride Aurora è arrivato con un difetto sul silicone, c'era proprio un taglio.",difetto_prodotto
REC-1089,2026-05-05,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,mi hanno risposto dopo cinque giorni quando sul sito dichiarate 48 ore.,assistenza
REC-1090,2026-04-08,sito,SKU-107,Kit plug progressivo,anale,5,"servizio impeccabile dall'ordine alla consegna, e il Kit plug progressivo ha superato le aspettative.",feedback_positivo
REC-1091,2026-07-31,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,5,Il Vibratore Rabbit Nova vale ogni euro speso. Comprerò ancora da voi.,feedback_positivo
REC-1092,2026-06-05,sito,SKU-108,Dildo in silicone Onda,dildo,1,"Salve, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1093,2026-07-23,trustpilot,SKU-106,Masturbatore Echo,per-lui,1,Spedizione in ritardo di oltre una settimana rispetto a quanto indicato in fase di acquisto.,logistica_consegna
REC-1094,2026-06-09,sito,SKU-107,Kit plug progressivo,anale,3,"Ho ricevuto una risposta chiara e senza giudizio, e per un acquisto del genere conta parecchio.",assistenza
REC-1095,2026-07-13,sito,SKU-108,Dildo in silicone Onda,dildo,1,Ordinato il 13/07 e dopo dieci giorni il pacco non è ancora arrivato. Il tracking è fermo da una settimana.,logistica_consegna
REC-1096,2026-06-12,sito,SKU-107,Kit plug progressivo,anale,5,"Ottimo acquisto, il Kit plug progressivo è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1097,2026-09-14,trustpilot,SKU-103,Wand massaggiante Vela,wand,3,"Nella scheda del Wand massaggiante Vela non sono indicate le dimensioni reali, dal vivo è molto più grande.",informazione_scheda
REC-1098,2026-09-04,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,Avevo diritto al Bonus Goduria ma non capisco come si richiede.,promo_ordini
REC-1099,2026-07-27,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,2,ho ordinato durante la promozione e mi è stato addebitato il prezzo pieno.,promo_ordini
REC-1100,2026-09-01,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,2,Il Vibratore per coppie Duo App ha un blocco tasti? Mi si accende da solo in borsa.,uso_prodotto
REC-1101,2026-07-07,sito,SKU-111,Kit bondage Soft Start,bdsm,5,"Il Kit bondage Soft Start è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1102,2026-09-04,sito,SKU-102,Vibratore Rabbit Nova,vibratori,2,"procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no.",reso_rimborso
REC-1103,2026-05-08,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,5,"il Succhia-clitoride Aurora è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1104,2026-05-11,sito,SKU-108,Dildo in silicone Onda,dildo,2,"Salve, ho ricevuto un prodotto diverso da quello ordinato e mi tocca pagare io la spedizione del reso.",reso_rimborso
REC-1105,2026-09-17,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,1,"Buonasera, reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo?",reso_rimborso
REC-1106,2026-07-26,sito,SKU-106,Masturbatore Echo,per-lui,5,Finalmente un negozio italiano serio su questo tema. Il Masturbatore Echo è di qualità alta.,feedback_positivo
REC-1107,2026-09-21,trustpilot,SKU-104,Vibratore per coppie Duo App,coppie-app,1,Ho pagato la spedizione express e è arrivato con gli stessi tempi di quella standard.,logistica_consegna
REC-1108,2026-08-04,sito,SKU-105,Anello fallico Orbit,per-lui,5,"Salve, ottimo acquisto, il Anello fallico Orbit è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1109,2026-08-06,sito,SKU-105,Anello fallico Orbit,per-lui,5,"Materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1110,2026-07-30,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,2,"non riesco a collegare il Vibratore per coppie Duo App all'app, il bluetooth non lo trova.",uso_prodotto
REC-1111,2026-05-30,trustpilot,SKU-107,Kit plug progressivo,anale,1,"Mi avevano promesso il rimborso via mail, da allora silenzio totale.",reso_rimborso
REC-1112,2026-08-05,trustpilot,SKU-106,Masturbatore Echo,per-lui,4,i vostri articoli sono l'unica cosa in italiano che spieghi certe cose senza fare i moralisti.,corsi_contenuti
REC-1113,2026-06-30,sito,SKU-106,Masturbatore Echo,per-lui,1,Ho pagato la spedizione express e è arrivato con gli stessi tempi di quella standard.,logistica_consegna
REC-1114,2026-08-22,trustpilot,SKU-107,Kit plug progressivo,anale,5,"Comprato per curiosità, tornata per la seconda volta. Il Kit plug progressivo è ottimo.",feedback_positivo
REC-1115,2026-08-31,sito,SKU-107,Kit plug progressivo,anale,2,"pacco bloccato in transito da sei giorni, nessuno mi sa dire nulla.",logistica_consegna
REC-1116,2026-05-24,sito,SKU-112,Body in pizzo Luce,lingerie,5,"comprato per curiosità, tornata per la seconda volta. Il Body in pizzo Luce è ottimo.",feedback_positivo
REC-1117,2026-09-06,sito,SKU-108,Dildo in silicone Onda,dildo,5,"Il Dildo in silicone Onda è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1118,2026-06-22,sito,SKU-106,Masturbatore Echo,per-lui,5,vivo in condivisione e la discrezione era il motivo per cui ho scelto voi: promessa mantenuta.,imballo_privacy
REC-1119,2026-07-08,trustpilot,SKU-105,Anello fallico Orbit,per-lui,5,però sull'estratto conto compare un nome che si capisce benissimo cosa sia. Sul sito dite il contrario.,imballo_privacy
REC-1120,2026-07-25,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,"Buonasera, le istruzioni del Succhia-clitoride Aurora sono solo in inglese e in cinese, in italiano niente.",uso_prodotto
REC-1121,2026-08-20,sito,SKU-108,Dildo in silicone Onda,dildo,5,Il pacco era anonimo ma la bolla del corriere riportava la descrizione della merce.,imballo_privacy
REC-1122,2026-07-24,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,1,"Ciao, il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando.",logistica_consegna
REC-1123,2026-06-10,sito,SKU-102,Vibratore Rabbit Nova,vibratori,3,"Buongiorno, si scarica molto più in fretta di quanto dichiarato nella scheda. Parlavate di due ore.",difetto_batteria
REC-1124,2026-09-04,sito,SKU-102,Vibratore Rabbit Nova,vibratori,2,"Buongiorno, ho pagato la spedizione express e è arrivato con gli stessi tempi di quella standard.",logistica_consegna
REC-1125,2026-07-25,sito,SKU-102,Vibratore Rabbit Nova,vibratori,3,"la ricarica magnetica si stacca al minimo movimento, è impossibile lasciarlo in carica.",difetto_batteria
REC-1126,2026-07-09,sito,SKU-105,Anello fallico Orbit,per-lui,5,"Ciao, prodotto arrivato in due giorni, imballo perfetto e anonimo. Sono molto soddisfatta.",feedback_positivo
REC-1127,2026-07-22,trustpilot,SKU-103,Wand massaggiante Vela,wand,5,"Ciao, ottimo acquisto, il Wand massaggiante Vela è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1128,2026-07-22,sito,SKU-105,Anello fallico Orbit,per-lui,1,Ho pagato la spedizione express e è arrivato con gli stessi tempi di quella standard.,logistica_consegna
REC-1129,2026-09-21,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,2,"Ho chiesto il reso del Vibratore Rabbit Nova venti giorni fa, il rimborso non è ancora arrivato.",reso_rimborso
REC-1130,2026-07-25,sito,SKU-105,Anello fallico Orbit,per-lui,2,"Salve, ho scritto due volte all'assistenza e non ho ricevuto nessuna risposta.",assistenza
REC-1131,2026-08-08,sito,SKU-109,Palline vaginali Kegel Set,palline,4,Il Palline vaginali Kegel Set si può usare con un lubrificante al silicone o rovina il materiale?,uso_prodotto
REC-1132,2026-04-23,sito,SKU-111,Kit bondage Soft Start,bdsm,2,"Le istruzioni del Kit bondage Soft Start sono solo in inglese e in cinese, in italiano niente.",uso_prodotto
REC-1133,2026-08-01,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,1,Il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando.,logistica_consegna
REC-1134,2026-04-02,sito,SKU-107,Kit plug progressivo,anale,2,"Le informazioni sul prodotto sono insufficienti, ho comprato praticamente alla cieca.",informazione_scheda
REC-1135,2026-05-22,trustpilot,SKU-105,Anello fallico Orbit,per-lui,5,"Buongiorno, materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1136,2026-08-12,sito,SKU-111,Kit bondage Soft Start,bdsm,2,"Procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no.",reso_rimborso
REC-1137,2026-07-05,trustpilot,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,2,Rimborso arrivato parziale senza nessuna spiegazione sulla differenza.,reso_rimborso
REC-1138,2026-08-03,sito,SKU-111,Kit bondage Soft Start,bdsm,1,"Consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1139,2026-08-24,sito,SKU-107,Kit plug progressivo,anale,2,Il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando.,logistica_consegna
REC-1140,2026-05-04,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,3,"dopo tre settimane il Succhia-clitoride Aurora non si accende più, la base magnetica non aggancia bene.",difetto_batteria
REC-1141,2026-08-16,sito,SKU-103,Wand massaggiante Vela,wand,2,"Salve, si può usare il Wand massaggiante Vela sotto la doccia oppure no?",uso_prodotto
REC-1142,2026-07-07,trustpilot,SKU-102,Vibratore Rabbit Nova,vibratori,5,"Buongiorno, materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1143,2026-06-15,sito,SKU-111,Kit bondage Soft Start,bdsm,1,"Buonasera, seconda volta che un vostro ordine arriva in ritardo. La prima l'ho lasciata correre.",logistica_consegna
REC-1144,2026-06-11,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,2,Ho ricevuto un prodotto diverso da quello ordinato e mi tocca pagare io la spedizione del reso.,reso_rimborso
REC-1145,2026-06-12,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,5,"Ottimo acquisto, il Succhia-clitoride Aurora è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1146,2026-08-04,trustpilot,SKU-112,Body in pizzo Luce,lingerie,5,"ottimo acquisto, il Body in pizzo Luce è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1147,2026-06-15,sito,SKU-102,Vibratore Rabbit Nova,vibratori,2,"Chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
REC-1148,2026-07-21,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,2,"Reso rifiutato perché la confezione era aperta, ma come faccio a capire se il prodotto va bene senza aprirlo?",reso_rimborso
REC-1149,2026-05-26,trustpilot,SKU-103,Wand massaggiante Vela,wand,2,"dopo tre settimane il Wand massaggiante Vela non si accende più, la base magnetica non aggancia bene.",difetto_batteria
